Citta,Prov,Reg,PopolazioneResidenti,Superficie,DensitaAbitanti,Altitudine
ROMA,RM,LAZ,2761632,1287,2145,20
MILANO,MI,LOM,1371498,181,7549,122
NAPOLI,NA,CAM,914758,118,7691,17
TORINO,TO,PIE,848885,130,6527,239
PALERMO,PA,SIC,630828,160,3928,14
GENOVA,GE,LIG,560688,240,2333,19
BOLOGNA,BO,EMR,392203,140,2784,54
FIRENZE,FI,TOS,36715,102,3588,50
BARI,BA,PUG,31614,117,2693,5
Catania,CT,SIC,298324,182,1632,7
Verona,VR,VEN,257274,198,1293,59
VENEZIA,VE,VEN,254661,415,612,2
Messina,ME,SIC,220094,213,103,3
Padova,PD,VEN,208732,93,2244,12
Prato,PO,TOS,200762,97,2062,61
TRIESTE,TS,FVG,200594,85,2357,2
Brescia,BS,LOM,19685,90,2179,149
Parma,PR,EMR,196655,260,755,57
Taranto,TA,PUG,189171,249,757,15
Modena,MO,EMR,185644,183,1013,34
Reggio Calabria,RC,CAL,1718,239,719,31
Reggio Emilia,RE,EMR,169029,230,733,58
PERUGIA,PG,UMB,163598,449,364,493
Ravenna,RA,EMR,15608,653,239,4
Livorno,LI,TOS,154177,104,1472,3
Rimini,RN,EMR,150051,135,1105,5
CAGLIARI,CA,SAR,148881,84,176,6
Foggia,FG,PUG,146379,509,287,76
Ferrara,FE,EMR,131091,405,324,9
Salerno,SA,CAM,128105,59,214,4
Latina,LT,LAZ,127221,277,458,21
Monza,MB,LOM,122099,33,369,162
Sassari,SS,SAR,121657,547,222,225
Bergamo,BG,LOM,120207,40,2994,249
Pescara,PE,ABR,119406,34,3478,4
TRENTO,TN,TAA,118509,157,751,194
ForlÃ¬,FC,EMR,116861,228,512,34
Siracusa,SR,SIC,116447,207,560,17
Vicenza,VI,VEN,110675,80,1373,39
Terni,TR,UMB,107314,212,505,130
Bolzano,BZ,TAA,107025,52,2047,262
Piacenza,PC,EMR,102902,118,870,61
Novara,NO,PIE,101727,103,987,162
ANCONA,AN,MAR,98664,124,790,30
Udine,UD,FVG,97761,57,1709,113
Andria,BT,PUG,97173,402,241,151
Arezzo,AR,TOS,96672,384,251,296
Pesaro,PU,MAR,95753,152,627,11
Lecce,LE,PUG,95253,238,399,49
Barletta,BT,PUG,92466,149,619,15
La Spezia,SP,LIG,92216,51,1794,3
Alessandria,AL,PIE,90987,203,447,95
Pisa,PI,TOS,89828,185,485,4
Pistoia,PT,TOS,89501,236,379,67
Lucca,LU,TOS,89219,185,480,19
CATANZARO,CZ,CAL,85544,112,759,320
Treviso,TV,VEN,84793,55,1526,15
Como,CO,LOM,83626,37,2252,201
Brindisi,BR,PUG,83169,333,250,13
Grosseto,GR,TOS,8144,473,172,10
Varese,VA,LOM,78875,54,1438,382
Asti,AT,PIE,73539,151,486,123
Caserta,CE,CAM,73068,54,1351,68
Ragusa,RG,SIC,7269,444,163,502
Pavia,PV,LOM,71159,63,1125,77
Cremona,CR,LOM,70943,70,1006,45
L'AQUILA,AQ,ABR,69508,473,147,714
Massa,MS,TOS,66423,93,708,65
Viterbo,VT,LAZ,65987,406,162,326
POTENZA,PZ,BAS,64786,175,369,819
Trapani,TP,SIC,64486,273,236,3
Cosenza,CS,CAL,63713,37,1683,238
Matera,MT,BAS,59869,392,153,401
Caltanissetta,CL,SIC,59063,421,140,568
Savona,SV,LIG,58563,65,897,4
Crotone,KR,CAL,58478,181,321,8
Benevento,BN,CAM,56939,130,435,135
Cuneo,CN,PIE,55813,119,466,534
Agrigento,AG,SIC,55636,243,228,230
Trani,BT,PUG,54838,103,530,7
Siena,SI,TOS,53724,118,453,322
Avellino,AV,CAM,52568,30,1721,348
Teramo,TE,ABR,51891,152,340,432
Pordenone,PN,FVG,51818,38,1356,24
Rovigo,RO,VEN,50379,108,463,7
Mantova,MN,LOM,48648,63,762,19
Chieti,CH,ABR,48612,59,816,330
CAMPOBASSO,CB,MOL,47334,56,844,701
Lecco,LC,LOM,4706,45,1043,214
Ascoli Piceno,AP,MAR,46079,158,292,154
Rieti,RI,LAZ,45624,206,221,405
Vercelli,VC,PIE,45141,79,566,130
Lodi,LO,LOM,44793,41,1083,87
Frosinone,FR,LAZ,44003,46,939,291
Biella,BI,PIE,42761,46,916,420
Imperia,IM,LIG,4206,45,927,10
Macerata,MC,MAR,4082,92,441,315
Fermo,FM,MAR,35932,124,289,319
Belluno,BL,VEN,35436,147,241,383
Nuoro,NU,SAR,34105,192,178,549
Gorizia,GO,FVG,33837,41,820,84
AOSTA,AO,VDA,33186,21,1551,583
Vibo Valentia,VV,CAL,31407,46,674,476
Oristano,OR,SAR,30541,84,361,9
Verbania,VB,PIE,29952,37,799,197
Carbonia,SU,SAR,2639,145,181,111
Enna,EN,SIC,25775,358,72,931
Sondrio,SO,LOM,2118,20,1015,307
Isernia,IS,MOL,20771,69,300,423